directorid,directorname,companyname,awarddate,qualification,fulltextdescription,primarykeyid,companyid,awarddateflag
1026,Chris Viehbacher,Canadian Institute of Chartered Accountants (CICA),9999-12-31,Chartered Accountant,,486739,56019,80
1026,Chris Viehbacher,Queen's University,9999-12-31,Degree,,486738,63329,80
1026,Chris Viehbacher,American Institute of Certified Public Accountants (AICPA),9999-12-31,Certified Public Accountant,,1153612,54373,80
8391,Roger Lynch,Tuck School of Business Dartmouth,1995-12-28,MBA (Distinction),,7731,632975,25
8391,Roger Lynch,University of Southern California (USC),1985-12-28,BSc (Hons),,7730,62673,25
13520,Rich Templeton,Union College,1980-12-31,BS,,19903,62108,25
16689,Doctor David Pyott,London Business School,2006-12-28,Fellow,,3971079,61171,25
16689,Doctor David Pyott,University of Edinburgh,1974-12-28,MA,,92227,60610,25
16689,Doctor David Pyott,London Business School,1980-12-28,MBA,,92232,61171,25
16689,Doctor David Pyott,Universiteit van Amsterdam (University of Amsterdam),1976-12-28,Diploma,,92222,62148,25
31551,Ken Frazier,Pennsylvania State University (Penn State University),1975-12-31,BA,,20264,61582,25
31551,Ken Frazier,Harvard Law School Harvard University,1978-12-31,JD,,20263,63035,25
32603,Mike Dell,University of Texas at Austin (UT Austin),1984-12-31,Attended,,17988,62742,25
33049,Ari Bousbib,École Special des Travaux Publics du Batiment et de l'Industrie (ESTP),1985-12-31,MS,,17992,63376,25
33049,Ari Bousbib,Columbia Business School Columbia University,1987-12-31,MBA,,17993,63118,25
33316,Doctor John Lechleiter,Franklin College,9999-12-31,Doctorate (Hons),,2427052,661622,80
33316,Doctor John Lechleiter,Marian University,9999-12-31,Doctorate (Hons),,2427045,1491204,80
33316,Doctor John Lechleiter,University of Indianapolis,9999-12-31,Doctorate (Hons),,2427047,92732,80
33316,Doctor John Lechleiter,National University of Ireland,9999-12-31,Doctorate (Hons),,2427049,63241,80
33316,Doctor John Lechleiter,Indiana University,9999-12-31,Doctorate (Hons),,2427051,60920,80
33316,Doctor John Lechleiter,Harvard University,1980-12-31,PhD,,120693,63830,25
33316,Doctor John Lechleiter,Xavier University Ohio,1975-12-31,BS (cum laude),,120678,73904,25
33316,Doctor John Lechleiter,Harvard University,1976-12-31,MS,,120679,63830,25
33316,Doctor John Lechleiter,Purdue University,9999-12-31,Doctorate (Hons),,2427053,61638,80
33491,Professor Doctor Jeff Leiden,University of Chicago,1981-12-31,PhD,,19046,42092,25
33491,Professor Doctor Jeff Leiden,University of Chicago,1977-12-31,BS,,19045,42092,25
33491,Professor Doctor Jeff Leiden,Harvard University,9999-12-31,MA (Hons),,657884,63830,80
33491,Professor Doctor Jeff Leiden,University of Chicago,1979-12-31,MD,,19047,42092,25
33503,Safra Catz,Carey Law School University of Pennsylvania (Formerly known as University of Pennsylvania Law School),1986-12-28,JD,,1312308,74077,25
33503,Safra Catz,Wharton School (The) University of Pennsylvania,1983-12-31,BS,,549873,64966,25
33569,Keith Block,Carnegie Mellon University,1984-12-31,MS,,549895,41519,25
33569,Keith Block,Carnegie Mellon University,9999-12-31,BS,,549894,41519,80
34345,Meg Whitman,Harvard Business School Harvard University,1979-12-31,MBA,,19736,63013,25
34345,Meg Whitman,Princeton University,1977-12-31,BA (Hons),,19735,61632,25
34345,Meg Whitman,Cold Spring Harbor High School,9999-12-31,Attended,,940438,1342725,80
34717,Doctor Keh-Shew Lu,Texas Tech University (TTU),1973-12-31,MS,,20225,62046,25
34717,Doctor Keh-Shew Lu,Texas Tech University (TTU),1977-12-31,PhD,,20226,62046,25
34717,Doctor Keh-Shew Lu,National Cheng Kung University (NCKU),1969-12-31,BS,,20224,61373,25
34852,Gregg Lowe,Stanford Graduate School of Business,1997-12-28,Stanford Executive Program,,490085,67360,25
34852,Gregg Lowe,Rose-Hulman Institute of Technology (RHIT),1984-12-31,BS,,490084,61714,25
35469,Vincent Roche,University of Limerick,1981-12-31,BSEE,,476329,62415,25
36387,Tunc Doluca,Iowa State University,1979-12-28,BSEE,,1181678,1246304,25
36387,Tunc Doluca,University of California,1981-12-28,MSEE,,1181679,63186,25
36856,Dave Cote,Graziadio Business School Pepperdine University,2001-12-28,JD (Hons),,1178623,3341502,25
36856,Dave Cote,University of New Hampshire,1976-12-31,BBA,,22362,62520,25
41606,Lamberto Andreotti,Università degli Studi di Roma La Sapienza (La Sapienza University of Rome),9999-12-31,BS,,580825,62703,80
41606,Lamberto Andreotti,Massachusetts Institute of Technology (MIT),9999-12-31,MS,,480588,40436,80
45781,Lothar Maier,University of California Berkeley,1978-12-31,BS,,32402,62215,25
46796,Doug Ingram,Arizona State University,1985-12-31,BS,,431492,60074,25
46796,Doug Ingram,University of Arizona (UOA),1988-12-31,JD (summa Cum Laude),,356919,62155,25
47456,Doctor John Martin,Purdue University,1973-12-31,BS (Hons),,315860,61638,25
47456,Doctor John Martin,University of Chicago,1978-12-31,PhD,,34787,42092,25
47456,Doctor John Martin,Golden Gate University,1984-12-28,MBA,,315859,60763,25
47716,Don Mattrick,Simon Fraser University,1984-12-28,Graduated,,2322911,61839,25
47756,John Riccitiello,Haas School of Business University of California Berkeley,1981-12-31,BS,,39912,757832,25
48076,Bob Swan,State University of New York Buffalo (SUNYB) (University at Buffalo) (Formerly known as University of Buffalo),1983-12-28,BS,,32196,83168,25
48076,Bob Swan,Binghamton University,2022-12-28,Doctor of Humane Letters,,4387967,61944,25
48076,Bob Swan,Binghamton University,1985-12-28,MBA,,32201,61944,25
48201,Doctor John Milligan,University of California San Francisco (UCSF),1990-12-28,Postdoctoral Fellow,,571168,62221,25
48201,Doctor John Milligan,Ohio Wesleyan University,1983-12-28,BA,,1280928,61525,25
48201,Doctor John Milligan,University of Illinois Urbana-Champaign (UIUC),1988-12-28,PhD,,34907,77782,25
49516,Dato' Steve Luczo,Stanford Graduate School of Business,1984-12-31,MBA,,40791,67360,25
49516,Dato' Steve Luczo,Stanford University,1979-12-31,AB,,40796,61935,25
49801,Mike Brown,Stanford Graduate School of Business,1984-12-28,MBA,,34216,67360,25
49801,Mike Brown,Harvard Business School Harvard University,1980-12-28,BA,,34211,63013,25
52347,Bob Calderoni,Fordham University,1981-12-31,BS,,75996,60696,25
52347,Bob Calderoni,American Institute of Certified Public Accountants (AICPA),9999-12-31,Certified Public Accountant,,140005,54373,80
56076,Murray Kessler,Leonard N Stern School of Business New York University,9999-12-31,MBA,,491772,42226,80
56076,Murray Kessler,Villanova University,1981-12-28,BS,,491771,62858,25
56477,D Durcan,Rice University,1983-12-31,MSc,,47067,61692,25
56477,D Durcan,Rice University,1982-12-31,BSc,,47062,61692,25
59002,Rick Hill,University of Illinois Chicago (UIC),1974-12-31,BS,,70717,62367,25
59002,Rick Hill,Syracuse University,1983-12-28,MBA,,70722,61983,25
61502,Steve Sanghi,University of Massachusetts,1978-12-31,MS,,267,63512,25
61502,Steve Sanghi,University of Punjab India,1975-12-31,BS,,307,633332,25
61667,Ganesh Moorthy,University of Washington,1981-12-31,BS,,48267,62785,25
61667,Ganesh Moorthy,National University Sacramento,1987-12-31,MBA,,187,104822,25
61667,Ganesh Moorthy,University of Mumbai (University of Bombay prior to 09/1996),1979-12-31,BS,,197,76151,25
61782,Paul Bisaro,University of Michigan,1983-12-28,Bachelor's Degree,,533963,63187,25
61782,Paul Bisaro,Catholic University of America Columbus School of Law,1989-12-28,JD,,533964,79142,25
63117,Mark Mondello,University of Southern California (USC),1985-12-31,BS,,70147,62673,25
64702,Doctor Aart De Geus,Southern Methodist University (SMU),1985-12-31,PhD,,52092,61882,25
64702,Doctor Aart De Geus,École Polytechnique Fédérale de Lausanne (EPFL) (Federal Polytechnic University of Lausanne),1978-12-31,MSEE,,52082,602911,25
64712,Doctor Chi-Foon Chan,Case Western Reserve University (CWRU),1975-12-31,PhD,,52167,60290,25
64712,Doctor Chi-Foon Chan,Case Western Reserve University (CWRU),1972-12-31,MS,,52162,60290,25
64712,Doctor Chi-Foon Chan,State University of New Jersey Rutgers (Rutgers University),1970-12-31,BSEE,,471952,100431,25
69696,Bobby Kotick,University of Michigan,9999-12-31,Studied,,2741686,63187,80
70477,Ajay Shah,Stanford University,1982-12-31,MS,,70397,61935,25
70477,Ajay Shah,Maharaja Sayajirao University of Baroda (The),1981-12-31,BS,,71612,124797,25
81732,Mark Templeton,Darden School of Business University of Virginia (Formerly known as Colgate Darden School of Business University of Virginia),1978-12-31,MBA,,497974,53191,25
81732,Mark Templeton,Nova Southeastern University,9999-12-31,Doctorate (Hons),,4307231,79815,80
81732,Mark Templeton,North Carolina State University (NCSU) (NC State University),1975-12-31,BA,,497973,61450,25
82157,Rick Clemmer,Texas Tech University (TTU),1973-12-28,BBA,,541241,62046,25
82157,Rick Clemmer,Southern Methodist University (SMU),9999-12-31,MBA,,541242,61882,80
83377,Jensen Huang,Stanford University,1992-12-28,MSEE,,70922,61935,25
83377,Jensen Huang,Oregon State University,1984-12-31,BSEE,,70917,61547,25
83652,Jure Sola,San Jose State University,1972-12-31,BS,,555257,61780,25
84112,Bob Hugin,Princeton University,1976-12-31,BA,,72052,61632,25
84112,Bob Hugin,Darden School of Business University of Virginia (Formerly known as Colgate Darden School of Business University of Virginia),1985-12-31,MBA,,72057,53191,25
